character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank,Hán Việt,Nghĩa
并,"丷, 一, 廾","Equal to, side by side, also, what is more, both","bìng, Bīng","并
├── 丷
└── 开
    ├── 一
    └── 廾",⿱丷⿱一廾,"① stand 立 side by side  → 並 → 业, both men are equal",連 列; 及; 庸 凡; 普; al. 业: 菐 显 業 虚 繊; : 霊,,,141,tịnh," 1. Gồm, đều. Như tịnh lập 並立 đều đứng, tịnh hành 並行 đều đi, v.v. Có chỗ viết 竝.<br>"
间,"门, 日","Interval, space, place, between","jiān, jiàn","间
├── 门
└── 日",⿵门日,"① when the sun 日 is visible between the gate 門 posts, there's an open space; also 閒 or 𨳢 (people 亻 walking through an open gate 門))",透; 室 房,,,142,gian, 1. Chữ gian 閒 nghĩa là khoảng thì thường viết là 間.<br>
手,⼿,"Hand, person",shǒu,手,⼿,"① hand  → 手; con.: action, activity, be involved, work 働; diagonally crossing strokes are usually a hand", 人; 巴; 五; al. 又 乂 ⺤ ⺕ 彐 丰 扌 龵 𠂇 𦥑,,,143,thủ," 1. Tay. <br>2. Làm. Như hạ thủ 下手 bắt tay làm, nhập thủ 入手 bắt tay vào, đắc thủ 得手 làm được việc, v.v. <br>3. Tài, làm nghề gì giỏi về nghề ấy gọi là thủ. Như quốc thủ 國手 tay có tài trị nước, năng thủ 能手 tay giỏi, v.v. <br>4. Tự tay làm ra. Như thủ thư 手書 chính tờ tay viết, thủ nhận 手刃 chính tay đâm, v.v. <br>5. Cầm.<br>"
四,"囗, 儿",Four,sì,"四
├── 囗
└── 儿",⿴囗儿,"① originally 𦉭 → 四, looks like something that is cut in four pieces ② con. a few, small group"," 丁
",,,144,tứ, 1. Bốn (tên số đếm).<br>
关,"丷, 一, 大","Frontier pass, close, relation","guān, Guān","关
├── 丷
└── 天
    ├── 一
    └── 大",⿱丷⿱一大,① passing 𢇅 gate 門 ② gate 門 closed with threads 𢇅 ③ ⓢ place where the sky 天 is divided 丷 between two countries ④ ⓢ looks like a gate (with it's doorknobs 丷 and two halves 人) closed with threads 二,,,,145,quan|loan," 1. Đóng. Như môn tuy thiết nhi thường quan 門雖設而常關 (Ðào Uyên Minh 陶淵明) tuy có làm cửa đấy nhưng vẫn đóng luôn. <br>2. Cái dõi cửa, dùng một cái trục gỗ cài ngang cửa lại gọi là quan. Cho nên then chốt trên cửa gọi là quan kiện 關鍵. Nói rộng ra thì các máy móc trong các đồ đều gọi là cơ quan 機關. Phàm các cái cốt yếu của sự vật gì hay chỗ tổng cục phân phát đi đều gọi là quan kiện hay là cơ quan. Như ta nói cơ quan truyền bá, cơ quan phát hành, v.v. <br>3. Cửa ải. Như biên quan 邊關 cửa ải ngoài biên, chỗ nước này giáp với nước khác. <br>4. Cửa ô. Đặt ở các nơi ách yếu để tra xét hành khách và hàng hóa gọi là quan. Ngày xưa đặt cửa ô chỉ để tra xét hành khách, đời sau mới đánh thuế. Như sách Mạnh Tử 孟子 nói quan cơ nhi bất chinh 關譏而不征 cửa ô chỉ để tra xét hành khách mà không đánh thuế. <br>5. Giới hạn. Như thánh vực hiền quan 聖域賢關 cõi thánh bực hiền. Nay gọi cuối năm là niên quan tại nhĩ 年關在邇 cũng bởi nghĩa đó (cái hạn năm nó đã gần hết cũ sang mới). <br>6. Quan hệ. Hai bên cùng có liên thuộc với nhau gọi là quan. Nay gọi sự để lòng thắc mắc nhớ luôn là quan tâm 關心 hay quan hoài 關懷 cũng bởi nghĩa đó. Nguyễn Du 阮攸. Quan tâm nhất dạ khổ vô thụy 關心一夜苦無睡 (Thăng Long 升龍) nghĩ ngợi thâu đêm khổ tâm không ngủ được. <br>7. Cách bức. Như quan thuyết 關說 lời nói cách bức, do một người khác nhắc lại, chứ không phải lời nói trước mặt. <br>8. Các văn bằng để đi lãnh lương gọi là quan hưởng 關餉. Hai bên cùng đính ước với nhau gọi là quan thư 關書. <br>9. Quan quan 關關 tiếng con chim thư cứu kêu. <br>10. Mạch quan. Nhà làm thuốc chia ba bộ mạch, cứ nơi cổ tay, lấy cái xương chồi đằng sau làm cữ, giữa gọi là mạch quan. <br>11. Tên đất. <br>12. Một âm là loan. Giương. Như Việt nhân loan cung nhi xạ chi 越人關弓而射之 người Việt giương cung mà bắn đấy.<br>"
重,重,"Heavy, weighty, double","chóng, zhòng","重
├── 千
│   ├── ㇒
│   └── 十
└── 里",重,① man 𡈼 holding a 一 heavy bag full of dirt from the fields 田 ② a man 亻 on the ground 一 carrying a heavy bag of dirt 亘,"軽; 坴 積 台; 塔; 薫 衝 動 種
",,,146,trọng|trùng," 1. Nặng. Ðem hai vật so sánh với nhau gọi là khinh trọng 輕重 nặng nhẹ. Dùng sức nhiều cũng gọi là trọng, vì thế nên tiếng to cũng gọi là trọng. <br>2. Tính cái sức chống chọi của vật này với vật kia gọi là trọng lượng 重量, khoa học nghiên cứu về cái lẽ của sức, định sức, động sức giúp gọi là trọng học 重學 hay lực học 力學, v.v. <br>3. Coi trọng, không dám khinh thường. Như trịnh trọng 鄭重, nghiêm trọng 嚴重, v.v. <br>4. Tôn trọng. Như quân tử tự trọng 君子自重 người quân tử tôn trọng lấy mình. <br>5. Chuộng. Như trọng nông 重農 chuộng nghề làm ruộng. <br>6. Quá. Thư trọng bệnh 重病 bệnh nặng quá, trọng tội 重罪 tội nặng quá, v.v. <br>7. Một âm là trùng. Gấp, kép. Như trùng tứ 重四 gấp tư. <br>8. Lại. Như trùng tố 重做 làm lại. Phúc bất trùng lai 福不重來 phúc chẳng đến hai lần. <br>9. Trồng vật gì cách nhau một từng gọi là nhất trùng 一重.<br>"
应,"广, 𭕄, 一","Should, ought to, need, respond to, answer","yīng, yìng, Yìng","应
├── 广
└── 37259
    ├── ⺍
    └── 一",⿸广⿱𭕄一,① mind 心 ready to respond like a falcon 䧹 ② ⓢ mind 心 wide 广 open with a attention: ready to respond 応 → 应,,,,147,ứng|ưng," 1. Ðáp. Như ứng đối 應對 đáp thưa. <br>2. Ứng theo. Như ta đập mạnh một cái thì nghe bên ngoài có tiếng vang ứng theo, gọi là hưởng ứng 響應, làm thiện được phúc, làm ác phải vạ gọi là báo ứng 報應, vì lòng thành cầu mà được như nguyện gọi là cảm ứng 感應, v.v. <br>3. Cái trống con. <br>4. Một thứ âm nhạc ngày xưa, dài 6 thước 5 tấc. <br>5. Một âm là ưng. Nên thế. <br>6. Nên, lời nói lường tính trước. Như ưng tu 應須 nên phải, chỉ ưng 衹應 chỉ nên, v.v.<br>"
工,⼯,"Labor, work, worker, laborer",gōng,工,⼯,① orig. carved pattern into something 𢒄 → 工: a sign that work has been done ② looks like an i-beam that is used in construction work, 働; 計;  巩 江 空 差 式 左 虹 紅 功 巧 貢 項 攻 尋 肛; al. 匚: 巨 匠,,,148,công," 1. Khéo, làm việc khéo gọi là công. <br>2. Người thợ. Phàm người nào làm nên đồ cho người dùng được đều gọi là công. <br>3. Quan. Như thần công 臣工 nói gồm cả các quan. Trăm quan gọi là bách công 百工. <br>4. Công xích 工尺 một tiếng gọi tắt trong phả âm nhạc thay luật lữ.<br>"
性,"忄, 生","Nature, character, sex",xìng,"性
├── 忄
└── 生",⿰忄生,① related to the heart 忄 of living 生 beings,,,,149,tính," 1. Tính, là một cái lẽ chân chính trời bẩm phú cho người. Như tính thiện 性善 tính lành. <br>2. Mạng sống. Như tính mệnh 性命. <br>3. Hình tính, chỉ về công dụng các vật. Như dược tính 藥性 tính thuốc, vật tính 物性 tính vật, v.v. <br>4. Yên nhiên mà làm không có chấp chước gì cả. Như Nghiêu Thuấn tính chi dã 堯舜性之也 vua Nghiêu vua Thuấn cứ như chân tính mà làm vậy. Nhà Phật nói cái tính người ta nguyên lai vẫn đầy đủ sáng láng từ bi hỷ xả mầu nhiệm tinh thần, chỉ vì vật dục làm mê mất chân tính ấy đi, nên mới tham lam giận dữ ngu si mà gây nên hết thẩy mọi tội. Nếu nhận tỏ bản tính (kiến tính 見性) của mình thì bao nhiêu sự sằng bậy đều sạch hết mà chứng được như Phật ngay.<br>"
全,"人, 王","Complete, entirely, full, whole","quán, Quán","全
├── 人
└── 王",⿱人王,① the king 王 rules and possesses everything in his house 𠆢,庶 挙 皆 各 総 諸; 専; 栓,,,150,toàn," 1. Xong, đủ. <br>2. Vẹn. Như toàn quốc 全國 vẹn cả nước. <br>3. Giữ cho toàn vẹn. Như toàn hoạt thậm đa 全活甚多 cứu sống cho được hẳn rất nhiều.<br>"
门,⾨,"Gate, door, entrance, opening","mén, Mén",门,⾨,"①  → 門; two doors 戶 make up one gate ② ⓢ looks like the frame of a door 冂 and it's door closer 丶, with the door itself missing", 砲 鬥,,,151,môn," 1. Cửa. Cửa có một cánh gọi là hộ 户, hai cánh gọi là môn 門. <br>2. Cửa mở ở nhà gọi là hộ, ở các khu vực gọi là môn. Như lý môn 里門 cổng làng, thành môn 城門 cổng thành, v.v. Phàm những chỗ then chốt đều gọi là môn. Như đạo nghĩa chi môn 道義之門 cái cửa đạo nghĩa (cái then chốt đạo nghĩa), chúng diệu chi môn 眾妙之門 (Lão Tử 老子) cái then chốt của mọi điều mầu nhiệm. <br>4. Nhà họ (gia tộc) nhà họ nào vẫn thường có tiếng tăm lừng lẫy gọi là danh môn 名門 hay môn vọng 門望. <br>5. Ðồ đảng. Như đồ đảng của đức Khổng Tử 孔子 gọi là Khổng môn 孔門, đồ đảng của Phật gọi là gọi là phật môn 佛門. Lấy quyền thế mà chiêu tập đồ đảng gọi là quyền môn 權門 hay hào môn 豪門, v.v. <br>6. Loài, thứ. Như phân môn 分門 chia ra từng loại. Chuyên nghiên cứu về một thứ học vấn gọi là chuyên môn 專門. <br>7. Một cỗ súng trái phá.<br>"
老,⽼,"Old, aged, experienced, rad. 125",lǎo,老,⽼,① person eating with spoon 匕 (having no teeth) food he has cut ⼃ from the fields 土 (therefore his back is bent ⼃) ② rs. old man with long hair 耂 leaning on a cane 匕,婆 翁; 久; 召; 旧 古; 考,,,152,lão," 1. Người già bảy mươi tuổi. Phàm người nào có tuổi tác đều gọi là lão. <br>2. Tước vị tôn trọng cũng gọi là lão. Như nguyên lão 元老 vị trọng thần của nhà nước, trưởng lão 長老 sư cụ. Nay bè bạn chơi với nhau, trong lúc trò chuyện gọi nhau là mỗ lão 某老 cũng noi nghĩa ấy cả. Có khi dùng để nói đùa nhau. Như lão mỗ 老某 cũng như ta nói thằng cha ấy. <br>3. Suy yếu. Như cáo lão 告老 cáo rằng già yếu xin thôi việc quan về nhà nghỉ. <br>4. Lâu. Như lão ư kì sự 老於其事 làm việc đã lâu. <br>5. Cứng rắn, tục gọi vật rắn chắc là lão. Văn viết đanh thép gọi là lão luyện 老煉 hay lão đương 老當. Vương Bột 王勃. Lão đương ích tráng, ninh tri bạch thủ chi tâm 老當益壯，寧知白首之心 tuổi già càng phải mạnh hơn, nên hiểu lòng ông đầu bạc. <br>6. Ông Lý Nhĩ 李耳 nhà Chu 周 gọi là Lão tử 老子, viết Ðạo Ðức Kinh 道德經, là tổ Ðạo giáo, nên gọi Ðạo giáo là đạo Lão. <br>7. Binh đóng ở ngoài đã lâu.<br>"
点,"⺊, 口, 灬","Dot, speck, spot, point, degree",diǎn,"点
├── 占
│   ├── ⺊
│   └── 口
└── 灬",⿱⿱⺊口灬,① observing 占 black 黑 spots 点 ② ⓢ observing 占 spots after burning 灬 something,要; 班,,,153,điểm, 1. Tục dùng như chữ điểm 點.<br>
身,⾝,"Body, trunk, hull, rad. 158",shēn,身,⾝,① standing bear with a fat body  → 身," 尸 ⺼ 体; 窮 射
",,,154,thân|quyên," 1. Mình, từ cổ đến bẹn gọi là thân. <br>2. Thân này, ta. Như chí thân thanh vân 致身青雲 thân này hẳn làm cho đến ngôi cao. <br>3. Có mang, đàn bà chửa gọi là hữu thân 有身. <br>4. Cái thể đựng chứa. Như hà thân 河身 lòng sông, thuyền thân 船身 thân thuyền, v.v. <br>5. Ðời. Như tiền thân 前身 đời trước. <br>6. Tuổi. <br>7. Gốc cây. Một âm là quyên. Quyên Ðộc 身毒 tên một nước ngày xưa, tức là nước Thiên Trúc 天竺 và là nước Ấn Ðộ 印度 bây giờ.<br>"
东,东,"East, eastern, eastward","dōng, Dōng","东
├── 七
│   ├── 乚
│   └── 一
└── 小",东,"① lit.: sun 日 shining through the trees 木 in the morning: the sun rises in the east ② con. early in the morning ③ ⓢ the car's axle broke (車 → 车), and we headed back east 东", 朝; 圣; 凍 棟 欄 練 錬 陳,,,155,đông," 1. Phương đông, tục gọi người chủ là đông. Nước Trịnh nói với người nước Sở tự xưng nước mình là đông đạo chủ 東道主 nghĩa là người chủ ở phương đông. Tục gọi các chủ cổ phần công ty là cổ đông 股東 là do nghĩa đó. <br>2. Nước Nhật Bản ở phía đông nước Tàu nên gọi là đông dương 東洋, văn tự Nhật Bản gọi là đông văn 東文. <br>3. Ðông sàng 東牀 chàng rể (theo tích truyện Vương Hy Chi, đời Tấn).<br>"
由,由,"Cause, reason, from, a source, derivation, up to",yóu,"由
├── 37024
│   ├── 二
│   └── 丨
└── 凵",,① rs. young plant 丨 sprouting from a field 田: source and cause of happyness for the farmer ② con.: something coming out of something,,,,156,do," 1. Bởi, tự. <br>2. Noi theo. <br>3. Nguyên do, nguyên nhân của một sự gì gọi là do. Như tình do 情由, lý do 理由, v.v. Nộp thuế có giấy biên lai gọi là do đơn 由單. Trích lấy các phần đại khái ở trong văn thư gọi là trích do 摘由. <br>4. Chưng. <br>5. Dùng. <br>6. Cùng nghĩa với chữ do 猶.<br>"
何,"亻, 一, 亅, 口","What, why, where, which, how","hé, Hé","何
├── 亻
└── 可
    ├── 丁
    │   ├── 一
    │   └── 亅
    └── 口",⿰亻⿹⿱一亅口,① questions are good 可 for a person 亻: they keep the mind fresh and the attention focused; rs. person 亻carrying an axe 可,奈; 荷,,,157,hà," 1. Sao, gì, lời nói vặn lại. Như hà cố 何故 cớ gì ? hà dã 何也 sao vậy ?<br>"
向,"丿, 冂, 口","Turn, face, toward, direction, trend","xiàng, Xiàng","向
├── 宀
└── 口",⿵⿱丿冂口,① rs. window 口 in a house 宀 facing a certain direction,赴 臨; 対 反,,,158,hướng," 1. Ngoảnh về, hướng về. Ngoảnh về phương vị nào gọi là hướng. Như nam hướng 南向 ngoảnh về hướng nam, bắc hướng 北向 ngoảnh về hướng bắc, v.v. Ý chí ngả về mặt nào gọi là chí hướng 志向, xu hướng 趨向, v.v. <br>2. Ngày xưa. Như hướng giả 向者 trước ấy. <br>3. Sắp. Như hướng thần 向晨 sắp sáng.<br>"
至,⾄,"Reach, arrive, extremely, very, climax",zhì,至,⾄,① arrow stuck in the ground:  → 至: it has reached it's climax ② one 一 individual 厶 reached his destination 土,払 去 台 広 参; 着 達 及 届; 室 窒 到 致 屋,,,159,chí," 1. Ðến. Như tân chí như quy 賓至如歸 khách đến như về chợ. <br>2. Kịp. Như tự thiên tử dĩ chí ư thứ nhân 自天子以至於庶人 từ vua đến dân thường. <br>3. Rất, cùng cực. Như chí thánh 至聖 rất thánh, bực thánh nhất, chí tôn 至尊 rất tôn, bực tôn trọng nhất, v.v. <br>4. Ðông chí 冬至 ngày đông chí, hạ chí 夏至 ngày hạ chí. Sở dĩ gọi là chí vì bấy giờ vòng mặt trời đã xoay đến nam cực bắc cực vậy.<br>"
物,"牛, 勹, 丿","Thing, substance, creature",wù,"物
├── 牛
└── 勿
    ├── 勹
    └── 37125
        └── ㇒",⿰牛⿹勹⿱丿丿,① cows 牛 and animals 勿 are the things dearest to a farmer,事 件 品 具; 惣: 総,,,160,vật," 1. Các loài sinh ở trong trời đất đều gọi là vật cả. Thông thường chia ra ba loài. (1) Ðộng vật 動物 giống động vật, (2) Thực vật 植物 giống thực vật, (3) Khoáng vật 礦物 vật mỏ, v.v. <br>2. Sự vật. Như hữu vật hữu tắc 有物有則 một vật có một phép riêng. <br>3. Vật sắc 物色 dò la tìm tòi.<br>"
战,"⺊, 口, 戈","War, fighting, battle",zhàn,"战
├── 占
│   ├── ⺊
│   └── 口
└── 戈",⿰⿱⺊口戈,① a single 單 individual carrying a spear 戈 going into battle/fortuneteller 占 predicting the use of spears 戈 ② take possession 占 by spears 戈,戦,,,161,chiến," 1. Ðánh nhau, hai bên đều bày trận đánh nhau gọi là chiến. Như thiệt chiến 舌戰 tranh cãi nhau, thương chiến 商戰 tranh nhau về sự buôn bán, v.v. <br>2. Run rẩy, rét run lập cập gọi là chiến. <br>3. Sợ. Như chiến chiến căng căng 戰戰兢兢 đau đáu sợ hãi.<br>"
业,"⼋, ⼁, ⼀","Profession, business, trade","yè, Yè","业
├── 37859
│   ├── 10001
│   │   └── 丨
│   └── 丷
└── 一",⿱⿻⼋⿰⼁⼁⼀,① sheep 羊 grazing from the luxuriant vegetation 菐: a good trade ② ⓢ the sheep stand side by side 业,商 営 用; 学; 縁 運; 技 行,,,162,nghiệp," 1. Nghiệp. Ngày xưa cắt miếng gỗ ra từng khớp để ghi các việc hàng ngày, xong một việc bỏ một khớp, xong cả thì bỏ cả đi, gọi là tu nghiệp 修業, nay đi học ở tràng gọi là tu nghiệp, học hết lớp gọi là tất nghiệp 畢業 đều là nói nghĩa ấy cả, nói rộng ra thì phàm việc gì cũng đều gọi là nghiệp cả. Như học nghiệp 學業, chức nghiệp 職業, v.v.. Của cải ruộng nương cũng gọi là nghiệp. Như gia nghiệp 家業 nghiệp nhà, biệt nghiệp 別業 cơ nghiệp riêng, v.v. <br>2. Làm việc, nghề nghiệp. Như nghiệp nho 業儒 làm nghề học, nghiệp nông 業農 làm ruộng, v.v. <br>3. Sự đã rồi. Như nghiệp dĩ như thử 業已如此 nghiệp đã như thế rồi. <br>4. Sợ hãi. Như căng căng nghiệp nghiệp 兢兢業業 đau đáu sợ hãi. <br>5. Cái nhân. Như nghiệp chướng 業障 nhân ác làm chướng ngại. Có ba nghiệp khẩu nghiệp 口業 nhân ác bởi miệng làm ra, thân nghiệp 身業 nhân ác bởi thân làm ra, ý nghiệp 意業 nhân ác bởi ý làm ra, ba món miệng, thân, ý gọi là tam nghiệp 三業, túc nghiệp 宿業 ác nghiệp kiếp trước đã làm kiếp này phải chịu khổ gọi là túc nghiệp, v.v. Làm thiện cũng gọi là thiện nghiệp 善業. <br>6. Công nghiệp. Như đế nghiệp 帝業 công nghiệp vua.<br>"
被,"衤, 皮","Bedding, cover, spread, reach, put on, wear, suffer, passive indicator (by)",bèi,"被
├── 衤
└── 皮",⿰衤皮,① clothes 衤 used like a skin 皮: cover for a bed or wearing it in case one suffers ② leather 皮  clothes 衤worn by a masochist (passive indicator who likes to suffer the action),,,,163,bị|bí," 1. Áo ngủ. <br>2. Đắp trùm. Như quang bị tứ biểu 光被四表 sáng khắp cả bốn cõi. <br>3. Bị, chịu. Như bị cáo 被告 kẻ bị cáo mách. Phàm sự gì ở ngoài mà liên lụy đến đều gọi là bị. Như bị lụy 被累 bị liên lụy. <br>4. Mặt ngoài, bề ngoài. <br>5. Đồ trang sức trên đầu. <br>6. Bộ đồ. <br>7. Một âm là bí. Kịp đến. <br>8. Đội, vác.<br>"
政,"一, 止, 攵","Government, political affairs",zhèng,"政
├── 正
│   ├── 一
│   └── 止
└── ⺙",⿰⿱一止攵,① hand 攵 moving the country in the correct 正 direction ② rs. correct 正 action with the hand 攵,,,,164,chánh," 1. Làm cho chính, người trên chế ra phép tắc luật lệ để cho kẻ dưới cứ thế mà noi gọi là chánh. <br>2. Việc quan (việc nhà nước). Như tòng chánh 從政 ra làm việc quan, trí chánh 致政 cáo quan. <br>3. Khuôn phép. Như gia chánh 家政 khuôn phép trị nhà. <br>4. Tên quan (chủ coi về một việc) như học chánh 學政 chức học chánh (coi việc học), diêm chánh 鹽政 chức diêm chánh (coi việc muối). <br>5. Chất chánh, đem ý kiến hay văn bài nghị luận của mình đến nhờ người xem hộ gọi là trình chánh 呈政. Cũng đọc là chữ chính.<br>"
内,"冂, 人",Inside,nèi,"内
├── 人
└── 冂",⿻冂人,① person 人 inside a house 冂," 奥 中; 肉 納 丙
",,,165,nội|nạp," 1. Ở trong, đối với chữ ngoại 外 ngoài. <br>2. Cung cấm. Nhà vua gọi là đại nội 大內. <br>3. Vợ. Như nội tử 內子, nội nhân 內人, tiện nội 賤內đều là tiếng mình tự gọi vợ mình khi đối với người họ hàng về bên nhà vợ gọi là nội thân 內親, anh em vợ gọi là nội huynh đệ 內兄第, v.v. <br>4. Một âm là nạp. Nộp, cũng như chữ 納. Lấy văn tự cố buộc người vào tội gọi là chu nạp 周內.<br>"
五,"一, 力",Five,wǔ,"五
├── 一
└── 65460
    ├── 力
    └── 一",⿱一⿱力一,① hand with five fingers  → 五 ② con.: hand,戊,,,166,ngũ," 1. Năm, tên số đếm.<br>"
儿,⼉,"Son, child, oneself, final part, rad. 10","rén, ér, r",儿,⼉,"① from 人:  →  → 儿: legs ② a child is small like a seed being grinded into smaller pieces in a mortar 臼 and walks on legs 儿 ③ if one sees his child, one sees a part of oneself ④ con.: man",,,,167,nhân," 1. Người. Chữ nhân 人 giống người đứng, chữ nhân ㄦ giống người đi.<br>"
及,及,"Extend, reach, come up to, and",jí,"及
├── 乃
│   ├── ㇎
│   └── 丿
└── ㇏",及,① hand 又 reaching out to a person 人,着 達 到 至 届; 幅; 並 且; 扱 級 吸,,,168,cập," 1. Kịp, đến. Từ sau mà đến gọi là cập. Như huynh chung đệ cập 兄終弟及 anh hết đến em, cập thời 及時 kịp thời, ba cập 波及 tràn tới, nghĩa bóng là sự ở nơi khác liên lụy đến mình. <br>2. Bằng. Như bất cập nhân 不及人 chẳng bằng người. <br>3. Cùng.<br>"
入,⼊,"Enter, come in (to), join",rù,入,⼊,① arrowhead  → 入: it enters deep into which it comes and joins itself to it, 𠂢; 容 挿; 込,,,169,nhập," 1. Vào, đối lại với chữ xuất 出 ra. <br>2. Dùng vào, buộc vào. Như nhập thủ 入手, cố nhập 故入 buộc tội vào, sát nhập 詧入 thu nộp vào. Ðem chỗ nọ nộp cho chỗ kia. <br>3. Ðược, khoảng tiền thu vào gọi là nhập khoản 入款. <br>4. Hợp. Như nhập điệu 入調 hợp điệu, nhập cách 入格 hợp cách. <br>5. Tiếng nhập, âm chữ có bốn âm là bình thượng khứ nhập 平上去入. Tiếng ngắn mà gặt là tiếng nhập.<br>"
先,"𠂒, 儿","First, former, previous",xiān,"先
├── ⺧
└── 儿",⿱𠂒儿,① person 儿 wielding a weapon 𠂒 ahead of him:  → 先; previous encounters have yielded many deaths ② an ox 𠂒 was first son 儿 of an ox 𠂒, 洗 銑;予; 該,,,170,tiên|tiến," 1. Trước. <br>2. Người đã chết gọi là tiên. Như tiên đế 先帝 vua đời trước, tiên nghiêm 先嚴 cha xưa. <br>3. Một âm là tiến. Làm trước. Như tiến ngã trước tiên 先我著鞭 liệu thế làm trước ta.<br>"
己,⼰,"Self, oneself, personal, private, 6th heavenly stem",jǐ,己,⼰,① rs. weaving threads  → 己: each thread follows it's own unique course through the fabric ② con. woven,機 織; 厶 自 僕 個 我 私 吾; 港 撰 起 妃 包 紀 記 配 遷 忌 選 改; al. 巳: 巽 巷,,,171,kỷ," 1. Can kỷ, can thứ sáu trong mười can. <br>2. Mình, đối lại với người. Như vị kỷ 為己 chỉ vì mình, lợi kỷ 利己 chỉ lợi mình. <br>3. Riêng, lòng muốn riêng.<br>"
安,"宀, 女","Peaceful, tranquil, quiet, cheap","ān, Ān","安
├── 宀
└── 女",⿱宀女,① lit. result of woman 女 staying at home 宀," 靖 寧 泰 妥 穏 和; 廉; 引; 案
",,,172,an," 1. Yên. Như bình an 平安, trị an 治安, v.v. <br>2. Ðịnh, không miễn cưỡng gì gọi là an. Như an cư lạc nghiệp 安居樂業 yên ở vui với việc làm. <br>3. Làm yên. Như an phủ 安撫 phủ dụ cho yên, an ủy 安慰 yên ủi. <br>4. Tiếng giúp lời. Nghĩa là Sao vậy. Như ngô tương an ngưỡng 吾將安仰 ta hầu ngưỡng vọng vào đâu ? Nhi kim an tại 而今安在 mà nay còn ở đâu ? <br>5. Ðể yên. Như an trí 安置 để yên một chỗ, an phóng 安放 bỏ yên đấy.<br>"
或,"戈, 口, 一","Certain, some, perhaps, probably, maybe, or",huò,"或
├── 戓
│   ├── 戈
│   └── 口
└── 一",⿹戈⿱口一,"① enclosure 囗 guarded by a 一 weapon 戈: it is certain nothing will get out, or perhaps?",Don't confuse with 成,,,173,hoặc," 1. Hoặc, là lời nói còn ngờ, chưa quyết định hẳn. Như hoặc nhân 或人 hoặc người nào, hoặc viết 或曰 hoặc có kẻ nói rằng, v.v. <br>2. Ngờ, cũng như chữ hoặc 惑. <br>3. Có. <br>4. Ai.<br>"
利,"禾, 刂","Gains, advantage, profit, merit","lì, Lì","利
├── 禾
└── 刂",⿰禾刂,① rs. reap grain 禾 with a knife 刂,,,,174,lợi," 1. Sắc. Như lợi khí 利器 đồ sắc. <br>2. Nhanh nhẩu. Như lợi khẩu 利口 nói lém. <br>3. Lợi. Như ích quốc lợi dân 益國利民, ích cho nước lợi cho dân, lợi tha 利他 lợi cho kẻ khác. <br>4. Công dụng của vật gì. Như thủy lợi 水利 lợi nước, địa lợi 地利 lợi đất. <br>5. Tốt lợi. Như vô vãng bất lợi 無往不利 tới đâu cũng tốt. <br>6. Tham. Như nghĩa lợi giao chiến 義利交戰 nghĩa lợi vật lộn nhau. Phàm cái gì thuộc sự ích riêng của một người đều gọi là lợi. Cao Bá Quát 高伯适. Cổ lai danh lợi nhân, Bôn tẩu lộ đồ trung 古來名利人，奔走路塗中 Xưa nay hạng người danh lợi, Vẫn tất tả ngoài đường sá. <br>7. Lời, lợi thị tam bội 利市三倍 bán lãi gấp ba. Cho nên cho vay lấy tiền lãi gọi là lợi tức 利息.<br>"
很,"彳, 艮","Very, quite, much",hěn,"很
├── 彳
└── 艮",⿰彳艮,① one covers quite a distance when walking 彳 good 艮,,,,175,ngận," 1. Bướng. <br>2. Ác. Như hung ngận 凶很 tàn ác. <br>3. Tham Như tâm ngận 心很 lòng tham. <br>4. Rất, lắm. Như ngận hảo 很好 tốt lắm. <br>5. Tranh kiện.<br>"
最,"日, 耳, 又","Most, extremely, exceedingly",zuì,"最
├── 曰
└── 取
    ├── 耳
    └── 又",⿱日⿰耳又,① take 取 someone's hat 冃: extreme behaviour most people won't tolerate ② the hand 又 pricks up the ear 耳 when someone speaks 曰: that's the most important,,,,176,tối," 1. Rất. Như tối hảo 最好 rất tốt. <br>2. Giỏi hơn. Nhà Hán khảo sát quan lại chia ra hai hạng, tối 最 và điến 殿. Ðiến là kẻ không xứng chức, tối là kẻ có tài giỏi. <br>3. Cùng tột, dùng làm trợ từ.<br>"
书,书,"Write, book, letter, document, writings","shū, Shū","书
├── 37977
│   ├── 37843
│   │   └── ㇆
│   └── 丨
└── 丶",书,① writing with a brush  with sufficient light 日/hand 彐 holding a brush 丨:  → 书," 文 著 録 叙 記 誌 署; 巻 本
",,,177,thư," 1. Sách. <br>2. Ghi chép, viết. <br>3. Thư tín. Như thướng thư 上書 dâng thơ. <br>4. Chữ. Như thư pháp 書法 phép viết chữ, biết tinh tường các lối chữ gọi là thư gia 書家. <br>5. Kinh thư, gọi tắt tên kinh Thượng thư.<br>"
