Status,Count,All Chars,Char 1,Pinyin 1,Rank 1,Char 2,Pinyin 2,Rank 2,Char 2,Pinyin 2,Rank 2,Char 3,Pinyin 3,Rank 3,Char 3,Pinyin 3,Rank 3,Char 4,Pinyin 4,Rank 4,Char 4,Pinyin 4,Rank 4,Notes,
,5,什计汁汗叶,什,shen2/shi2,182,计,ji4,275,汁,zhi1,2944,汗,han4,1545,叶,ye4,968,,,,,,,,
,5,打针钉扎挂,打,da2/da3,240,针,zhen1,1334,钉,ding1/ding4,2505,扎,za1/zha1/zha2,1620,挂,gua4,1320,,,,,,,,
,4,花化华毕,花,hua1,352,化,hua4,223,华,hua2/hua4,418,毕,bi4,959,,,,,,,,,,,
,2,此些,此,ci3,89,些,xie1,109,,,,,,,,,,,,,,,,,
,2,进讲,进,jin4,84,讲,jiang3,623,,,,,,,,,,,,,,,,,
,4,立位拉垃,立,li4,198,位,wei4,194,拉,la1,399,垃,la1,3207,,,,,,,,,,,
,4,陪部都倍,陪,pei2,1672,部,bu4,103,都,dou1/du1,68,倍,bei4,1479,,,,,,,,,,,
,3,陈院阵,陈,chen2,430,院,yuan4,364,阵,zhen4,837,,,,,,,,,,,,,,
,2,阳阴,阳,yang2,410,阴,yin1,852,,,,,,,,,,,,,,,,,
,2,那哪,那,na3/na4/nei4,43,哪,na3/na/nei3,766,,,,,,,,,,,,,,,,,
,3,快块决,快,kuai4,411,块,kuai1/kuai4,950,决,jue2,326,,,,,,,,,,,,,,
,2,招超,招,zhao1,894,超,chao1,885,,,,,,,,,,,,,,,,,
,2,店居,店,dian4,1092,居,ju1,537,,,,,,,,,,,,,,,,,
,2,周调,周,zhou1,415,调,diao4/tiao2,451,,,,,,,,,,,,,,,,,
,2,厂广,厂,chang3,1155,广,guang3,441,,,,,,,,,,,,,,,,,
,2,产严,产,chan3,197,严,yan2,595,,,,,,,,,,,,,,,,,
,3,尸户护,尸,shi1,1505,户,hu4,676,护,hu4,602,,,,,,,,,,,,,,
,2,气汽,气,qi4,239,汽,qi4,1492,,,,,,,,,,,,,,,,,
,3,病疼瘦,病,bing4,417,疼,teng2,1952,瘦,shou4,2089,,,,,,,,,,,,,,
,4,冬疼终图,冬,dong1,1225,疼,teng2,1952,终,zhong1,546,图,tu2,514,,,,,,,,,,,
,3,求球秋,求,qiu2,315,球,qiu2,781,秋,qiu1,782,,,,,,,,,,,,,,
,3,康展屋,康,kang1,883,展,zhan3,346,屋,wu1,917,,,,,,,,,,,,,,
,3,票漂条,票,piao4,1105,漂,piao1/piao3/piao4,1880,条,tiao2,272,,,,,,,,,,,,,,
,5,但怕拍担旧,但,dan4,121,怕,pa4,667,拍,pai1,1315,担,dan1/dan4,859,旧,jiu4,742,,,,,,,,
,2,桥娇,桥,qiao2,1305,娇,jiao1,2029,,,,,,,,,,,,,,,,,
,4,聿建键健,聿,yu4,3698,建,jian4,262,键,jian4,1842,健,jian4,1102,,,,,,,,,,,
,4,两俩辆满,两,liang3,123,俩,lia3/liang3,1930,辆,liang4,1656,满,man3,447,,,,,,,,,,,
,2,即既,即,ji2,255,既,ji4,531,,,,,,,,,,,,,,,,,
,3,竟镜境,竟,jing4,700,镜,jing4,1402,境,jing4,687,,,,,,,,,,,,,,
,2,黄演,黄,huang2,446,演,yan3,887,,,,,,,,,,,,,,,,,
,2,星醒,星,xing1,515,醒,xing3,1165,,,,,,,,,,,,,,,,,
,3,胜性姓,胜,sheng1/sheng4,699,性,xing4,149,姓,xing4,865,,,,,,,,,,,,,,
,2,竞竟,竞,jing4,1288,竟,jing4,700,,,,,,,,,,,,,,,,,
,2,据剧,据,ju1/ju4,359,剧,ju4,1112,,,,,,,,,,,,,,,,,
,2,傅博,傅,fu4,1571,博,bo2,955,,,,,,,,,,,,,,,,,
,3,巨臣 距拒,巨,ju4,1067,臣 ,,,距,ju4,1325,拒,ju4,1405,,,,,,,,,,,
,2,仍扔,仍,reng2,612,扔,reng1,2221,,,,,,,,,,,,,,,,,
,2,遇偶,遇,yu4,812,偶,ou3,1466,,,,,,,,,,,,,,,,,
,3,兼歉赚,兼,jian1,1079,歉,qian4,2471,赚,zhuan4/zuan4,2499,,,,,,,,,,,,,,
,2,辣判,辣,la4,2797,判,pan4,804,,,,,,,,,,,,,,,,,
,2,裙群,裙,qun2,2495,群,qun2,609,,,,,,,,,,,,,,,,,
,2,释译,释,shi4,902,译,yi4,1428,,,,,,,,,,,,,,,,,
,2,占点,占,zhan1/zhan4,848,点,dian3,153,,,,,,,,,,,,,,,,,
,3,古吉固,古,gu3,453,吉,ji2,870,固,gu4,855,,,,,,,,,,,,,,
,2,害售集 ,害,hai4,573,售,shou4,1374,集 ,,,,,,,,,,,,,,,,
,3,店站战,店,dian4,1092,站,zhan4,652,战,zhan4,161,,,,,,,,,,,,,,
,3,卓桌泉 掉,卓,zhuo2,2063,桌,zhuo1,1330,泉 ,,,掉,diao4,1033,,,,,,,,,,,
,4,前俞偷愉输 ,前,qian2,91,俞,yu2,3120,偷,tou1,1390,愉,yu2,2347,输 ,,,,,,,,,,
,4,系累杀示,系,xi4,274,累,lei2/lei3/lei4,1176,杀,sha1,436,示,shi4,509,,,,,,,,,,,
,3,余 亲涂途,余 ,,,亲,qin1/qing4,306,涂,tu2,1808,途,tu2,1212,,,,,,,,,,,
,3,除际标,除,chu2,475,际,ji4,521,标,biao1,606,,,,,,,,,,,,,,
,2,禁梦,禁,jin1/jin4,943,梦,meng4,835,,,,,,,,,,,,,,,,,
,3,礼社衫,礼,li3,517,社,she4,337,衫,shan1,2253,,,,,,,,,,,,,,
,3,没设投,没,mei2/mo4,98,设,she4,341,投,tou2,589,,,,,,,,,,,,,,
,2,嗳暖,嗳,ai3/ai4,3556,暖,nuan3,1958,,,,,,,,,,,,,,,,,
,2,要耍,要,yao1/yao4,32,耍,shua3,1788,,,,,,,,,,,,,,,,,
,6,非兆北排挑啡,非,fei1,261,兆,zhao4,1926,北,bei3,264,排,pai2/pai3,819,挑,tiao1/tiao3,1462,啡,fei1,2744,,,,,
,3,川州洲,川,chuan1,1009,州,zhou1,222,洲,zhou1,875,,,,,,,,,,,,,,
,2,品命,品,pin3,349,命,ming4,210,,,,,,,,,,,,,,,,,
,3,哭器澡,哭,ku1,1099,器,qi4,496,澡,zao3,3134,,,,,,,,,,,,,,
,3,专转传,专,zhuan1,564,转,zhuan3/zhuan4,374,传,chuan2/zhuan4,320,,,,,,,,,,,,,,
,4,军库裤连,军,1-Jun,71,库,ku4,1156,裤,ku4,2357,连,lian2,384,,,,,,,,,,,
,3,共供并,共,gong4,375,供,gong1/gong4,645,并,bing4,141,,,,,,,,,,,,,,
,2,兵宾,兵,bing1,238,宾,bin1,1380,,,,,,,,,,,,,,,,,
,5,迟尺尽民眠,迟,chi2,1342,尺,chi3,1316,尽,jin3/jin4,414,民,min2,124,眠,mian2,2232,,,,,,,,
,4,底纸低抵,底,de/di3,640,纸,zhi3,1126,低,di1,708,抵,di3,1195,,,,,,,,,,,
,4,官馆管算,官,guan1,230,馆,guan3,1063,管,guan3,280,算,suan4,454,,,,,,,,,,,
,2,竹行,竹,zhu2,1496,行,hang2/xing2/xing4,53,,,,,,,,,,,,,,,,,
,2,洗选,洗,xi3,1322,选,xuan3,547,,,,,,,,,,,,,,,,,
,2,笑笔,笑,xiao4,327,笔,bi3,996,,,,,,,,,,,,,,,,,
,2,论轮,论,lun2/lun4,243,轮,lun2,1178,,,,,,,,,,,,,,,,,
,2,坐座,坐,zuo4,455,座,zuo4,910,,,,,,,,,,,,,,,,,
,2,猫狗,猫,mao1,2035,狗,gou3,1403,,,,,,,,,,,,,,,,,
,7,斤厅近听诉所,斤,jin1,1946,厅,ting1,1333,近,jin4,386,听,ting1/ting4,245,诉,su4,696,所,suo3,51,呢,ne/ni2,424,,
,2,革鞋,革,ge2,642,鞋,xie2,1876,,,,,,,,,,,,,,,,,
,2,楚麻,楚,chu3,842,麻,ma2,1245,,,,,,,,,,,,,,,,,
,2,印却,印,yin4,705,却,que4,288,,,,,,,,,,,,,,,,,
,2,即既,即,ji2,255,既,ji4,531,,,,,,,,,,,,,,,,,
