character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank,Hán Việt,Nghĩa
爆,"火, 日, 十, 丨, 一, 八, 氺","Crackle, pop, burst, explode",bào,"爆
├── 火
└── 暴
    ├── 日
    └── 37440
        ├── 共
        │   ├── 龷
        │   │   ├── 艹
        │   │   └── 一
        │   └── 八
        └── 水",⿰火⿱日⿱⿱⿱⿻十丨一八氺,① violent 暴 fire 火,,,,1551,bạo|bạc|bộc," 1. Tức nổ nứt ra vì lửa. <br>2. Bạo trúc 爆竹 pháo tre (ống lệnh), ngày xưa chưa biết làm pháo cứ đốt ống tre ống nứa cho nổ to để trừ các điềm xấu. <br>3. Một âm là bạc. Ðốt, hơ nóng. ta quen đọc là chữ bộc.<br>"
哀,"亠, 口, 𧘇","Sad, mournful, pitiful, pity","āi, Āi","哀
├── 衣
└── 口",⿳亠口𧘇,① sadness when one finds a hole 口 in one's clothes 衣,,,,1552,ai, 1. Thương. <br>2. Không có mẹ gọi là ai. Kẻ để tang mẹ mà còn cha gọi là ai tử 哀子.<br>
润,"氵, 门, 王","Moist, wet, sleek, freshen",rùn,"润
├── 氵
└── 闰
    ├── 门
    └── 王",⿰氵⿵门王,① a surplus 閏 of water 氵 (overflowing) making things wet and refreshing people,,,,1553,nhuận," 1. Nhuần, thấm, thêm. <br>2. Nhuận, nhuần nhã, phàm cái gì không khô ráo đều gọi là nhuận. <br>3. Lấy của mà đền công cho người gọi là nhuận. Như nhuận bút 潤筆 (xin văn xin chữ của người rồi lấy tiền mà tặng trả). <br>4. Nhuận sắc 潤色 tô điểm cho thêm văn vẻ, sửa lại văn tự cũng gọi là nhuận sắc.<br>"
舒,"人, 丿, 十, 口, 厶, 乛, 亅","Open up, unfold, stretch out, comfortable, easy, relax","shū, Shū","舒
├── 舍
│   ├── 人
│   └── 38262
│       ├── 干
│       └── 口
└── 予
    ├── 龴
    │   └── 厶
    └── 𠄐
        ├── ㇖
        └── 亅",⿰⿱人⿱⿱丿十口⿱厶⿱乛亅,① house 舍 where one goes back and forth 予: it is opened up and one feels comfortable when stretched out,,,,1554,thư," 1. Thư thái, thư sướng. <br>2. Thư thả. <br>3. Duỗi ra, mở ra.<br>"
腿,"月, 辶, 艮","Legs, thighs",tuǐ,"腿
├── 月
└── 退
    ├── 辶
    └── 艮",⿰月⿺辶艮,① part of the body 月 that is used to walk away 退,,,,1555,thối," 1. Ðùi. Ðùi vế gọi là đại thối 大腿, bắp chân gọi là tiểu thối 小腿. Nguyên viết là thối 骽.<br>"
册,册,"Book, volume",cè,"册
└── 27020",册,① bamboo slats woven together  → 冊册,,,,1556,sách," 1. Bài văn sách mệnh. Như vua phong tước cho ai gọi là sách phong 册封. <br>2. Bản sách, một quyển sách gọi là sách, cũng có khi viết là 冊.<br>"
轰,"车, 又","explosion, bang, boom, rumble, to attack, to shoo away, to expel",hōng,"轰
├── 车
└── 双
    └── 又",⿱车⿰又又,,,,,1557,oanh|hoanh," 1. Sầm sầm, xình xịch, tiếng một đoàn xe đi. <br>2. Rầm rĩ. <br>3. Vang lừng. Như oanh oanh liệt liệt 轟轟烈烈 vang lừng rực rỡ. <br>4. Ðốt thuốc nổ. Chính âm đọc là hoanh.<br>"
掩,"扌, 大, 电","to cover up, to close, to surprise",yǎn,"掩
├── 扌
└── 奄
    ├── 大
    └── 电
        ├── 申
        │   ├── 日
        │   └── 丨
        └── 乚",⿰扌⿱大电,,,,,1558,yểm," 1. Bưng, ngậm, min, đóng. Như yểm khẩu 掩口 bưng miệng, yểm môn 掩門 đóng cửa, v.v. <br>2. Che lấp. Như yểm cái 掩蓋 che đậy, yểm tế 掩蔽 bưng che, v.v. <br>3. Úp lấy, chụp lấy, thừa lúc không có phòng bị mà úp ngay gọi là yểm, nguyên là chữ yểm 揜.<br>"
祝,"礻, 口, 儿","Pray for happiness or blessings, celebrate, congratulate","zhù, Zhù","祝
├── 礻
└── 兄
    ├── 口
    └── 儿",⿰礻⿱口儿,① brother 兄 going to the altar 礻 to pray for happiness for one of his siblings: cause for celebration  and congratulations if it comes true,,,,1559,chúc|chú," 1. Khấn. <br>2. Chúc mừng. Chúc phúc 祝福. <br>3. Cắt. Như chúc phát 祝髮 cắt tóc. Xuất gia đi tu gọi là chúc phát cũng theo nghĩa ấy. <br>4. Một âm là chú, cũng như chữ chú 咒.<br>"
祸,"礻, 口, 冂, 人","Misfortune, calamity, disaster",huò,"祸
├── 礻
└── 呙
    ├── 口
    └── 内
        ├── 人
        └── 冂",⿰礻⿱口⿻冂人,① bones 咼/呙 on the altar 礻: sign of calamity or disaster,,,,1560,họa, 1. Tai vạ.<br>
摸,"扌, 艹, 日, 大","Gently touch with hand, caress, grope","mō, mó","摸
├── 扌
└── 莫
    ├── 艹
    └── 旲
        ├── 日
        └── 大",⿰扌⿱艹⿱日大,① hand 扌 in the dark 莫,,,,1561,#N/A,#N/A
忆,"忄, 乙","Remember, reflect upon, memory",yì,"忆
├── 忄
└── ㇠",⿰忄乙,① thoughts 意 coming up in the mind 忄: remember ② ⓢ second 乙 thoughts in the mind 忄,,,,1562,ức," 1. Nhớ, tương ức 相憶 cùng nhớ nhau. <br>2. Ghi nhớ, nhớ chôn vào tim óc gọi là ký ức 記憶.<br>"
偿,"亻, ⺌, 冖, 二, 厶","Repay, recompense, restitution",cháng,"偿
├── 亻
└── 尝
    ├── 龸
    │   ├── ⺌
    │   └── 冖
    └── 云
        ├── 二
        └── 厶",⿰亻⿱⿱⺌冖⿱二厶,① person 亻 rewarding 賞 someone he loaned from ② ⓢ person 亻 of a good restaurant 尝 being repaid after a meal,,,,1563,thường, 1. Ðền. Như thường hoàn 償還 đền trả. Bù. Như đắc bất thường thất 得不償失 số được chẳng bù số mất.<br>
抢,"扌, 人, 㔾","Plunder, rob, take by force","qiāng, qiǎng","抢
├── 扌
└── 仓
    ├── 人
    └── 㔾",⿰扌⿱人㔾,① hand 扌 plundering a storehouse 倉/仓,,,,1564,thưởng|thương|thướng," 1. Cướp lấy. Như thưởng đoạt 搶奪 cướp giật. <br>2. Một âm là thương. Ðập, húc. Như dĩ đầu thương địa 以頭搶地 lấy đầu húc xuống đất. <br>3. Lại một âm là thướng. Thuyền ngược gió mà tiến lên gọi là thướng, nay thường gọi kẻ chở thuyền là trạo thướng 掉搶.<br>"
怜,"忄, 人, 丶, 厶","Sympathy, pity, smart",lián,"怜
├── 忄
└── 令
    ├── 亽
    │   ├── 人
    │   └── 丶
    └── 龴
        └── 厶",⿰忄⿱⿱人丶厶,① heart 忄 full of running light 粦 ② heart 忄 of the commander 令 having pity for someone; he's smart,,,,1565,liên|lân," 1. Thương. Như đồng bệnh tương liên 同病相憐 cùng bệnh cùng thương, cố ảnh tự liên 顧影自憐 trông bóng tự thương. <br>2. Yêu, tiếc (có chỗ đọc là lân).<br>"
摄,"扌, 耳, 又","Take in, absorb, act as deputy, administer, assist",shè,"摄
├── 扌
└── 聂
    ├── 耳
    └── 双
        └── 又",⿰扌⿱耳⿰又又,① hand 扌 near the ear 聶/聂 trying to help absorb a whisper 聶/聂 ② 摄 → 摂,,,,1566,nhiếp," 1. Vén lên. <br>2. Bắt lấy. <br>3. Thu nhiếp lại. Như nhiếp ảnh 攝影 chụp ảnh, nhiếp sinh 攝生 thu nhiếp tinh thần để nuôi mình cho khỏe. <br>4. Trị cho nghiêm chỉnh. Như trấn nhiếp 鎮攝 lấy oai mà khiến cho ai nấy đều sợ không dám làm càn. <br>5. Kiêm, thay, nhiếp vị 攝位 làm thay địa vị người khác. <br>6. Bị bức bách. <br>7. Vay mượn.<br>"
牧,"牛, 攵","Breed, care for, shepherd, tend cattle","mù, Mù","牧
├── 牛
└── ⺙",⿰牛攵,① hand tapping 攵 a cow 牜 to move it in the right direction,,,,1567,mục," 1. Kẻ chăn giống muông. <br>2. Chăn nuôi đất ngoài cõi. <br>3. Chỗ chăn. <br>4. Nuôi. Như ti dĩ tự mục dã 卑以自牧也 (Dịch Kinh 易經) tự nhún mình tôn người để nuôi đức mình. <br>5. Quan mục, quan coi đầu một châu gọi là mục. <br>6. Quan coi thuyền bè. <br>7. Ðịnh bờ cõi ruộng. <br>8. Con bò bụng đen.<br>"
丙,"一, 冂, 人","Third (class), 3rd heavenly stem",bǐng,"丙
├── 一
└── 内
    ├── 人
    └── 冂",⿱一⿻冂人,① rs. originally smoke rising in 入 the hearth 冂 to the sky 一: a third way of cooking things (after eating it raw or cooked) ② consists of three elements: one enters 入 the wide 冂 skies 一,"俞; 三; 病 柄
",,,1568,bính," 1. Một can trong mười can. Nhà tu luyện xưa cho can bính thuộc hành hỏa, nên có nghĩa là lửa. Như phó bính 付丙 cho lửa vào đốt.<br>"
绪,"纟, 耂, 日","beginnings, clues, mental state, thread",xù,"绪
├── 纟
└── 者
    ├── 耂
    └── 日",⿰纟⿸耂日,,,,,1569,tự," 1. Ðầu mối sợi tơ. Gỡ tơ phải gỡ từ đầu mối, vì thế nên sự gì đã xong hẳn gọi là tựu tự 就緒 ra mối. Sự gì bối rối ngổn ngang lắm gọi là thiên đầu vạn tự 千頭萬緒 muôn đầu nghìn mối. <br>2. Sự gì cứ nối dõi mãi mà có manh mối tìm thấy được đều gọi là tự. Như công tự 功緒 công nghiệp, tông tự 宗緒 đời nối, dòng dõi, v.v. <br>3. Mối nghĩ. Như ý tự 思緒 ý nghĩ, càng nghĩ càng ra như thể kéo sợi vậy, tình tự 情緒 mối tình, sầu tự 愁緒 mối sầu, v.v. <br>4. Thừa. Như tự dư 緒餘 cái đã tàn rớt lại. <br>5. Bày. Như tự ngôn 緒言 lời nói mở đầu.<br>"
逼,"辶, 一, 口, 田","variant of 逼[bi1], to compel, to pressure, to force (sb to do sth), to compel, to press for, to extort, to press on towards, to press up to, to close in on, euphemistic variant of 屄[bi1]",bī,"逼
├── 辶
└── 畐
    ├── 一
    └── 37617
        ├── 口
        └── 田",⿺辶⿱⿱一口田,,,,,1570,bức," 1. Bức bách. Ở vào chỗ hai bên nó đè ép không cựa được nữa gọi là bức. Như thật bức xử thử 實逼處此 ở đây thật là bức bách. <br>2. Bức hiếp, ăn hiếp. Như cưỡng bức 強逼 cố hiếp. Uy bức 威逼 lấy oai quyền mà đè ép.<br>"
傅,"亻, 十, 月, 丶, 寸","Tutor, teacher, assist, surname","fù, Fù","傅
├── 亻
└── 尃
    ├── 甫
    │   ├── 41053
    │   │   ├── 十
    │   │   └── 用
    │   └── 丶
    └── 寸",⿰亻⿱⿺⿻十月丶寸,① person 亻 stating 尃 truths in front of a class,,,,1571,phó|phụ," 1. Giúp rập. Như sư phó 師傅 quan thầy dạy vua chúa khi còn nhỏ tuổi. <br>2. Một âm là phụ, liền dính. Như bì chi bất tồn, mao tương yên phụ 皮之不存毛將安傅 da đã chẳng còn, lông bám vào đâu.<br>"
乏,"丿, 丶","Deficient, lack, exhausted, tired, useless, weak",fá,"乏
├── ㇒
└── 之
    ├── 𪜋
    │   ├── 主
    │   │   ├── 王
    │   │   └── 丶
    │   └── 戈
    └── ㇝",⿱丿⿱丶&CDP-8661;,① rs. a left foot 止 (reversed) with a limit 一: 𠂜 →  → 乏: deficient and weak,,,,1572,phạp," 1. Thiếu, không có đủ. <br>2. Mỏi mệt, chủ từ khách không tiếp gọi là đạo phạp 道乏 mệt lắm xin thứ cho.<br>"
堆,"土, 隹","Heap, pile, crowd, pile up",duī,"堆
├── 土
└── 隹",⿰土隹,① bird 隹 sitting on a heap of earth 土,,,,1573,đôi, 1. Ðắp. <br>2. Ðống.<br>
庚,"广, ⺺, 人",7th heavenly stem,gēng,"庚
├── 广
└── 37245
    ├── ⺺
    └── 八",⿸广⿻⺺人,① rs. two hands ⺕ using a pestle:  → 庚,,,,1574,canh," 1. Can canh, can thứ bảy trong mười can. <br>2. Tuổi, cùng tuổi với mình gọi là đồng canh 同庚. <br>3. Ðường. <br>4. Ðền trả.<br>"
辅,"车, 十, 月, 丶","Cheek bone, protective, assist",fǔ,"辅
├── 车
└── 甫
    ├── 41053
    │   ├── 十
    │   └── 用
    └── 丶",⿰车⿺⿻十月丶,① protective bars (like sprouting plants) 甫 on a car 車 having the same function as cheek bones,,,,1575,phụ," 1. Xương má của người ta. <br>2. Hai bên xe, hai bên đòn kèm xe, vì thế nên cùng gần gặn cùng giúp lẫn nhau, nương tựa lẫn nhau gọi là phụ xa tương y 輔車相依. <br>3. Giúp. Như phụ bật 輔弼 giúp dân. <br>3. Tên quan. Quan sư 師 , quan bảo 保, quan nghi 疑, quan thừa 丞 gọi là tứ phụ 四輔. Nghĩa là các quan giúp đỡ ở hai bên mình vua vậy. <br>4. Chỗ đất giáp nhau cũng gọi là phụ. Như tỉnh Trực Lệ trước gọi là kỳ phụ 畿輔 nghĩa là nó giáp gần kinh kỳ vậy.<br>"
瞧,"目, 隹, 灬","to look at, to see, to see (a doctor), to visit",qiáo,"瞧
├── 目
└── 焦
    ├── 隹
    └── 灬",⿰目⿱隹灬,,,,,1576,tiều," 1. Trông trộm, coi.<br>"
尖,"小, 大","Sharp, pointed, acute, keen",jiān,"尖
├── 小
└── 大",⿱小大,① rs. from large 大 to small 小,,,,1577,tiêm," 1. Nhọn, phàm cái gì mũi nhọn đều gọi là tiêm. Phàm nghĩ ngợi, nói năng, văn tự, tiếng tăm sắc mắc đều gọi là tiêm. Như văn thơ khéo tỉa tót từng ly từng tí gọi là tiêm xảo 尖巧. <br>2. Cái gì tốt tục cũng gọi là tiêm. <br>3. Những nơi để cho khách đi dọc đường ăn uống nghỉ ngơi, tục cũng gọi là đả tiêm 打尖.<br>"
董,"艹, 重","Direct, supervise, correct","dǒng, Dǒng","董
├── 艹
└── 重
    ├── 千
    │   ├── ㇒
    │   └── 十
    └── 里",⿱艹重,① oversee and correct weighty 重 problems which shoot up like grass 艹,,,,1578,đổng, 1. Ðốc trách. Như đổng sự 董事 giữ quyền đốc trách công việc. <br>2. Cốt đổng 骨董 tạp nhạp láo nháo. Ðồ cổ gọi là cổ đổng 古董 hay cốt đổng 骨董. <br>3. Họ Ðổng.<br>
惑,"戈, 口, 一, 心","Confuse, mislead, baffle, doubt",huò,"惑
├── 或
│   ├── 戓
│   │   ├── 戈
│   │   └── 口
│   └── 一
└── 心",⿱⿹戈⿱口一心,"① enclosure 或 of the heart 心 guarded by a weapon: confuses, misleads and baffles everyone wanting to conquer it",,,,1579,hoặc," 1. Ngờ lạ. Như trí giả bất hoặc 智者不惑 kẻ khôn không có điều ngờ lạ. <br>2. Mê. Như cổ hoặc 蠱惑 lấy lời nói hay sự gì làm mê hoặc lòng người. Nhà Phật 佛 cho chúng sinh đối với hết thảy mọi pháp, không hiểu rõ rằng tự tình nguyên là không, mới sinh ra chấp chước sằng, mê mất đạo chính mà bị luân hồi mãi. Có hai sự mê hoặc lớn. (1) Kiến hoặc, nghĩa là kiến thức mê lầm. Như đời là vô thường lại nhận là có thường, thế là kiến hoặc 見惑, (2) Tư hoặc như mắt thấy sắc nghĩ mê say đắm sắc, tai nghe tiếng nghĩ say mê tiếng, không biết sắc với tiếng đều là vọng cả, thế là tư hoặc 思惑.<br>"
扰,"扌, 尢, 丶","Disturb, annoy, agitate",rǎo,"扰
├── 扌
└── 尤
    ├── 尢
    └── 丶",⿰扌⿺尢丶,① sadness 憂 as the result of a hand 扌 disturbing ② ⓢ dog 尤 disturbed by a hand 扌,,,,1580,nhiễu, 1. Quấy rối. <br>2. Nuôi cho thuần. <br>3. Làm cho yên.<br>
趋,"土, 龰, 𠂊, 彐","to hasten, to hurry, to walk fast, to approach, to tend towards, to converge",qū,"趋
├── 走
└── 刍
    ├── ⺈
    └── 彐",⿺⿱土龰⿱𠂊彐,,,,,1581,xu, 1. Tục dùng như chữ xu 趨.<br>
韦,⾱,"Tanned leather, rad. 178","wéi, Wéi",韦,⾱,① rs. feet 舛 walking around an enclosure 囗: the feet are wearing leather shoes ② ⓢ hide being dried on a stick 丨: 韦,,,,1582,vi," 1. Da đã thuộc mềm nhũn. <br>2. Trái, cùng nghĩa với chữ vi 違.<br>"
黎,"禾, 勹, 丿, 人, 氺","Numerous, many, black, aborigines of hainan","lí, Lí","黎
├── 37063
│   ├── 禾
│   └── 99972
│       ├── 勹
│       └── ㇒
└── 37271
    ├── 人
    └── 氺",⿱⿰禾⿹勹丿⿱人氺,① rs. those who cut millet 黍 with a knife 刀 - the aborigines of hainan; they were numerous and black,,,,1583,lê," 1. Ðen. Bách tính, dân chúng gọi là lê dân 黎民 nghĩa là kể số người tóc đen vậy. Cũng gọi là lê nguyên 黎元. <br>2. Lê minh 黎明 tờ mờ sáng. <br>3. Họ Lê.<br>"
哉,"戈, 十, 口","Final exclamatory particle, how, what",zāi,"哉
├── 𢦏
│   ├── 土
│   └── 戈
└── 口",⿹⿶戈十口,① words 口 uttered after being hurt 𢦏,,,,1584,tai," 1. Tiếng trợ ngữ, nghĩa là vậy thay !. <br>2. Mới, âm lịch cứ đến ngày mồng ba gọi là tai sinh minh 哉生明 nghĩa là ngày mặt trăng mới sáng.<br>"
佳,"亻, 土","Good, auspicious, beautiful, delightful","jiā, Jiā","佳
├── 亻
└── 圭
    └── 土",⿰亻⿱土土,① person 亻 possessing many beautiful jade tablets 圭: he's worked good and is auspicious,,,,1585,giai," 1. Tốt. <br>2. Ðẹp. Như giai nhân 佳人 con gái đẹp, người đẹp.<br>"
返,"辶, 𠂆, 又","Return, revert to, restore",fǎn,"返
├── 辶
└── 反
    ├── ⺁
    └── 又",⿺辶⿸𠂆又,① move ⻌ in reverse 反 direction,帰 復 戻 還,,,1586,phản, 1. Trả lại. <br>2. Trở lại. Nguyễn Du 阮攸. Thận vật tái phản linh nhân xi 愼勿再返令人嗤 (Khuất Nguyên) đừng trở lại đây nữa để người ta mai mỉa.<br>
阅,"门, 丷, 口, 儿","Examine, review, inspection",yuè,"阅
├── 门
└── 兑
    ├── 丷
    └── 兄
        ├── 口
        └── 儿",⿵门⿱丷⿱口儿,① rs. door 門 (appearance) where people read 兌/兑 ② door 門 where one examines the wares to buy with cash 兌/兑,,,,1587,duyệt," 1. Xem xét. Như duyệt binh 閱兵 xem xét binh lính tập luyện thế nào, duyệt quyển 閱卷 xem xét quyển bài, v.v. <br>2. Từng trải. Như duyệt nhân đa hĩ 閱人多矣 từng trải xem người nhiều rồi. <br>3. Phiệt duyệt 閥閱 (Xem chữ phiệt 閥). <br>4. Dong. <br>5. Bẩm thụ. <br>6. Tóm.<br>"
屈,"尸, 凵, 丨","Bend, flex, bent, crooked, crouch","qū, Qū","屈
├── 尸
└── 出
    └── 山",⿸尸⿱⿻凵丨凵,① crouched person 尸 over a receptacle 出,,,,1588,khuất|quật," 1. Cong, phàm sự gì cong không duỗi được đều gọi là khuất. Như lý khuất từ cùng 理屈詞窮 lẽ khuất lời cùng, bị oan ức không tỏ ra được gọi là oan khuất 冤屈, v.v. <br>2. Chịu khuất. Như khuất tiết 屈節 chịu bỏ cái tiết của mình mà theo người. <br>3. Một âm là quật. Như quật cường 屈疆 cứng cỏi.<br>"
吐,"口, 土","Vomit, spew out, cough up","tǔ, tù","吐
├── 口
└── 土",⿰口土,① coming from the mouth 口 and landing on the ground 土,,,,1589,thổ," 1. Thổ ra. Vì bệnh gì mà các đồ ăn uống ở trong dạ dầy thốc ra gọi là thổ. Nhà làm thuốc có phép thổ, nghĩa là cho uống thuốc thổ hết tà độc ra cho khỏi bệnh. <br>2. Nói năng. Như thổ từ phong nhã 吐詞風雅 nói nhời ra phong nhã. <br>3. Nở ra. Như hoa nở gọi là thổ tú 吐秀. <br>4. Thổ lộ. Như thổ lộ chân tình 吐露真情 bầy tỏ hết tình thực. <br>5. Nhả ra, nhà tu tiên nhả cái cũ ra, nuốt cái mới vào gọi là thổ nạp 吐納. <br>6. Vứt bỏ. Như thổ khí 吐棄 nhổ vứt đi.<br>"
薛,"艹, 丿, 㠯, 立, 十","wormwood like grass (classical), surname Xue, vassal state during the Zhou Dynasty (1046-256 BC)","xuē, Xuē","薛
├── 艹
└── 59268
    ├── 𠂤
    │   ├── 㠯
    │   │   └── 𤕪
    │   └── 丶
    └── 辛",⿱艹⿰⿱丿㠯⿱立十,,,,,1590,tiết," 1. Cỏ tiết. <br>2. Nước Tiết 薛, một nước nhỏ ngày xưa, nay thuộc địa phận tỉnh Sơn Ðông 山東. <br>3. Họ Tiết. Như Tiết Nhân Quý 薛仁貴.<br>"
圈,"囗, 丷, 二, 人, 㔾","Circle, corral, radius","juān, juàn, quān","圈
├── 囗
└── 卷
    ├── 龹
    │   ├── 半
    │   │   ├── 37024
    │   │   │   ├── 二
    │   │   │   └── 丨
    │   │   └── 丷
    │   └── 八
    └── 㔾",⿴囗⿱⿱丷⿻二人㔾,① enclosure 囗 around a precious scroll 卷,,,,1591,#N/A,#N/A
扫,"扌, 彐","Sweep, clear away, exterminate","sǎo, sào","扫
├── 扌
└── 彐",⿰扌彐,"① rs. something done with the hand 扌, sweep with a broom 帚",,,,1592,tảo, 1. Quét. Như sái tảo 洒掃 vẩy nước quét nhà. <br>2. Xong hết. Như tảo số 掃數 tính xong các số rồi. <br>3. Phu đê lấy rơm ra đánh từng mảng để hộ đê gọi là tảo tử 掃子.<br>
驱,"一, 匚, 㐅","Drive, run, gallop, advance, inspire, impel, spur a horse",qū,"驱
├── 马
└── 区
    ├── 匚
    └── 乂
        └── ㇒",⿰⿹&CDP-8A77;一⿷匚㐅,① drive through an area 區/区 with a horse 馬,,,,1593,khu," 1. Ruổi ngựa, đánh ngựa cho chạy nhanh. <br>2. Ðuổi. Như là khu trừ 驅除 xua đuổi. <br>3. Giá ngự. Như khu sách 驅策 đứng cầm nọc cho kẻ dưới cứ tuân lệnh mà làm. <br>4. Chạy vạy, bôn tẩu. Gắng sức vì người gọi là nguyện hiệu trì khu 願效馳驅.<br>"
墨,"黑, 土","Ink, writing, calligraphy, letters, greedy","mò, Mò","墨
├── 黑
└── 土",⿱黑土,① inkstone made from black 黑 earth 土 used in writing and calligraphy,,,,1594,mặc," 1. Sắc đen. <br>2. Mực. <br>3. Hình mặc. Một thứ hình pháp đời xưa thích chữ vào mặt rồi bôi mực vào. <br>4. Tham mặc, quan lại tham tiền làm sai phép gọi là mặc lại 墨吏. <br>5. Ðạo Mặc, đời Chiến-quốc có ông Mặc Ðịch 墨翟 lấy sự yêu hết mọi người như mình làm tôn chỉ, cho nên gọi là Ðạo Mặc. <br>6. Nước Mặc, gọi tắt nước Mặc-tây-kha 墨西哥 (Mexico) ở châu Mỹ. <br>7. Một thứ đo ngày xưa, năm thước là một mặc.<br>"
碎,"石, 亠, 人, 十","Break, smash, broken, busted",suì,"碎
├── 石
└── 卒
    ├── 亠
    └── 38261
        ├── 从
        │   └── 人
        └── 十",⿰石⿱⿱亠⿰人人十,① soldiers 卒/卆 smashing things with stones 石,,,,1595,toái, 1. Ðập vụn. <br>2. Mỏn mọn. Nhỏ nhặt.<br>
吓,"口, 一, 卜","Scare, frighten, intimidate","hè, xià","吓
├── 口
└── 下
    ├── 一
    └── 卜",⿰口⿱一卜,① two men 赫 scaring people by shouting 口 ② ⓢ mouth 口 shouting down 下 someone,,,,1596,hách, 1. Dọa nạt.<br>
估,"亻, 十, 口","Merchant, estimate, guess, presume","gū, gù","估
├── 亻
└── 古
    ├── 十
    └── 口",⿰亻⿱十口,① person 亻that seems to have 10 mouths 古: spews many estimates and guesses in order to seduce his buyers,,,,1597,cổ, 1. Ðánh giá. Như cổ giá 估價 đánh giá xem vật ấy đáng giá bao nhiêu.<br>
劲,"ス, 工, 力","Strong, unyielding, tough, powerful","jìn, jìng","劲
├── 37030
│   ├── 龴
│   │   └── 厶
│   └── 工
└── 力",⿰⿱ス工力,① force 力 like underground streams 巠/𢀖: strong and unyielding,,,,1598,kính," 1. Cứng, mạnh. Như kính binh 勁兵 binh mạnh, kính thảo 勁草 cỏ cứng.<br>"
冯,"冫, 一","to gallop, to assist, to attack, to wade, great, old variant of 憑|凭[ping2], surname Feng","píng, Féng","冯
├── 冫
└── 马",⿰冫⿹&CDP-8A77;一,,,,,1599,phùng|bằng," 1. Họ Phùng. <br>2. Một âm là bằng. Tựa. Cũng như chữ bằng 憑. <br>3. Bằng hà 馮河 lội sông tay không, ý nói hữu dũng vô mưu. Luận ngữ 論語. Bạo hổ bằng hà, tử nhi vô hối giả, ngô bất dữ dã 暴虎馮河，死而無悔者，吾不與也 (Thuật nhi 述而) tay không mà bắt cọp, không thuyền mà lội qua sông, chết không tiếc thân, kẻ ấy ta không cho theo giúp ta. <br>4. Ngựa đi nhanh. <br>5. Ðầy ựa. <br>6. Nổi giận đùng đùng. <br>7. Lấn hiếp. <br>8. Giúp. <br>9. Nhờ cậy.<br>"
锦,"钅, 白, 巾","Brocade, tapestry, embroidered",jǐn,"锦
├── 钅
└── 帛
    ├── 白
    └── 巾",⿰钅⿱白巾,① metal 金 embroidered in silk 帛,,,,1600,cẩm," 1. Gấm. <br>2. Một tiếng để khen ngợi. Như lòng nghĩ khôn khéo gọi là cẩm tâm 錦心, lời văn mỹ lệ gọi là cẩm tảo 錦藻, v.v.<br>"
慰,"尸, 示, 寸, 心","Comfort, console, calm",wèi,"慰
├── 尉
│   ├── 37214
│   │   ├── 尸
│   │   └── 示
│   └── 寸
└── 心",⿱⿰⿸尸示寸心,① officer 尉 finding comfort and consolation in his mind 心,,,,1601,úy," 1. Yên. Như hân úy 欣慰 yên vui, úy lạo 慰勞 yên ủi.<br>"
肩,"户, 月","Shoulders, shoulder, bear",jiān,"肩
├── 户
└── 月",⿸户月,① rs. body 月 hinged like a door 戸,,,,1602,kiên," 1. Vai. <br>2. Gánh vác, trút được hết trách nhiệm gọi là tức kiên 息肩. <br>3. Dùng. <br>4. Giống muông ba tuổi.<br>"
醉,"酉, 亠, 人, 十","Intoxicated, drunk, addicted to",zuì,"醉
├── 酉
└── 卒
    ├── 亠
    └── 38261
        ├── 从
        │   └── 人
        └── 十",⿰酉⿱⿱亠⿰人人十,① leave a soldier 卒/卆 alone with a bottle 酉 and he'll be drunk and soon addicted ② ⓢ 90 卆 bottles 酉: drunk,,,,1603,túy," 1. Say rượu.Vương Hàn 王翰. Túy ngọa sa trường quân mạc tiếu, Cổ lai chinh chiến kỷ nhân hồi 醉臥沙場君莫笑，古來征戰幾人回 Say nằm ở sa trường xin bạn đừng cười, xưa nay chinh chiến mấy người về. <br>2. Say đắm. Như túy tâm âu hoá 醉心歐化 lòng say mê phong hóa châu Âu. <br>3. Ngâm rượu.<br>"
剩,"禾, 匕, 刂","Leftovers, residue, remains",shèng,"剩
├── 乘
│   ├── 禾
│   └── 北
│       └── 匕
└── 刂",⿰⿻禾⿰&CDP-8BC5;匕刂,① left hanging 乗/乘 after the knife 刂 has cut away most: leftovers,,,,1604,thặng, 1. Thừa. Như sở thặng vô kỉ 所剩無幾 thửa thừa không mấy.<br>
逆,"辶, 丷, 一, 凵, 丨","Disobey, rebel, traitor",nì,"逆
├── 辶
└── 屰
    ├── 䒑
    │   ├── 丷
    │   └── 一
    └── 屮",⿺辶⿱⿱丷一⿻凵丨,① disobedient 屰 going ⻌: rebel or traitor,,,,1605,nghịch|nghịnh," 1. Trái. Trái lại với chữ thuận 順. Phàm cái gì không thuận đều gọi là nghịch cả. <br>2. Can phạm, kẻ dưới mà phản đối người trên cũng gọi là nghịch. Như ngỗ nghịch 忤逆 ngang trái. bạn nghịch 叛逆 bội bạn. <br>3. Rối loạn. <br>4. Đón. Bên kia lại mà bên này nhận lấy gọi là nghịch. Như nghịch lữ 逆旅 khách trọ. <br>5. Toan lường, tính trước lúc việc chưa xẩy ra. Như nghịch liệu 逆料 liệu trước. <br>6. Tờ tâu vua. Từ nghĩa 4 trở xuống ta quen đọc là chữ nghịnh.<br>"
